Week,Hillary Clinton,Bernie Sanders,Ben Carson,Ted Cruz,Carly Fiorina,Mike Huckabee,Rand Paul,Marco Rubio,Jeb Bush,Scott Walker,Chris Christie,Lindsey Graham,Rick Santorum,Martin O'Malley,George Pataki,Rick Perry,Lincoln Chafee,Bobby Jindal,John Kasich,Jim Webb,Donald Trump
3/15/2015,13.00017364,0.577706916,2.245062934,3.148916917,0.51826956,0.718263131,1.876700137,0.977646148,2.239385456,2.65371187,1.167808394,0.442776345,0.664228784,0.129567396,0.091776898,0.367147088,0,0.529218606,0.188952442,0.507596875,4.121517629
3/22/2015,10.1823947,0.823848696,2.782623628,73.76936783,0.405847418,0.657071774,3.116075798,1.631820597,3.107644072,2.811539088,1.284753905,0.381974046,0.710609144,0.190987017,0.107430195,0.537150998,0,0.668811097,0.56102437,0.44178569,3.859679019
3/29/2015,10.28228647,0.852393932,1.707698756,9.129663691,2.785375305,0.841467067,1.594917123,1.89411423,1.875142602,2.137316969,1.236413161,0.336457978,0.527077303,0.297178657,0.095307242,0.426209944,0,0.375622648,0.308445755,0.269110699,3.184421782
4/5/2015,16.80732983,0.950418083,2.175978544,6.597893692,1.139731998,0.61698052,30.05631888,2.160429555,4.07472904,3.341862852,1.1402089,0.516678284,0.939346272,0.222227219,0.088890882,0.550175657,0.788948276,0.544683348,0.32778515,0.400150318,3.171366266
4/12/2015,97.77778143,1.852041239,3.511229768,9.335412578,2.116995646,1.112825671,13.36989398,31.26217989,5.715894806,2.877956361,3.443324236,0.523135708,0.561389906,0.594457383,0.143068319,0.633005158,0.775978485,0.720930675,0.484353488,0.687967681,3.786486133
4/19/2015,27.49329085,1.415770616,2.357419449,5.132890731,2.274347152,0.867402611,5.689532187,5.831559119,3.287708599,3.590540597,2.768799788,1.268261142,2.295380338,0.346631906,0.081232144,0.492895766,0.297851198,1.310909212,0.964280641,0.530785406,3.128065804
4/26/2015,18.84059608,22.74967779,2.262906408,4.274861262,0.8947482,0.74176772,3.759440265,2.462946296,2.751567942,1.853651648,2.180859788,0.398167527,0.665350016,0.654580371,0.196313629,0.47446994,0.338014422,0.51247348,0.523697972,0.561634871,4.510520178
5/3/2015,14.29196986,13.34667758,22.17177101,3.249880272,13.26219819,5.992766069,2.929196813,2.23935169,2.864376496,2.423425897,1.814370483,0.592156653,1.049354862,0.276353059,0.078954221,0.699715292,0.214341207,0.383621331,0.434322251,0.434443887,3.339409904
5/10/2015,12.62495984,6.510423887,5.65096153,3.432331067,2.304396383,1.399791067,2.920900917,3.472338764,6.772278811,1.865613669,2.317376632,0.256818715,0.59364737,0.154091229,0.308182458,0.639255244,0.182626648,0.325303702,0.26257244,0.296945177,3.38876178
5/17/2015,16.0440488,7.859410843,3.653801862,3.281958348,1.108773975,2.064131155,6.988294311,2.448384904,3.720463886,1.926204894,1.519933837,1.601950365,1.016628545,0.161610214,0.26550249,0.698640278,0.126979447,1.229949204,0.519740942,0.254029309,3.207093676
5/24/2015,14.30575281,13.54127978,3.4767493,3.229778072,2.080479499,2.314171398,5.869765483,2.223517086,2.41083907,1.939949114,1.502750741,0.831707487,6.371164745,0.862507738,3.428974092,0.717732538,0.222978113,0.928260795,0.651190834,0.337560252,3.339927419
5/31/2015,13.77848834,12.30859532,2.941103902,4.843100244,1.626804312,2.569186435,7.186714849,2.770739835,3.243712764,2.704605632,4.088189376,6.777537201,2.527999968,0.963754237,0.727279427,6.56924159,2.23078115,0.869316202,0.584979519,0.336827075,3.880627832
6/7/2015,15.16941711,9.749116204,3.022976212,2.736172337,1.9137305,0.943739417,3.188291018,4.353699866,4.33732583,2.544717559,3.719414939,3.833976239,1.74328156,0.228223777,0.444647769,2.016005258,0.613238563,0.492540286,0.498488784,0.38441522,3.507531018
6/14/2015,21.29750455,17.0666387,4.434164991,2.253973907,1.907011686,0.877466852,4.805274312,3.749509133,34.19376712,2.496298662,2.782527257,2.699109976,1.365531101,0.923199999,0.39440275,2.687158375,0.351596519,0.83161173,0.730267055,0.346230485,100
